statinfo,unit,currency\time	2019Q3 	2019Q2 	2019Q1 	2018Q4 	2018Q3 	2018Q2 	2018Q1 	2017Q4 	2017Q3 	2017Q2 	2017Q1 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2014Q4 	2014Q3 	2014Q2 	2014Q1 	2013Q4 	2013Q3 	2013Q2 	2013Q1 	2012Q4 	2012Q3 	2012Q2 	2012Q1 	2011Q4 	2011Q3 	2011Q2 	2011Q1 	2010Q4 	2010Q3 	2010Q2 	2010Q1 	2009Q4 	2009Q3 	2009Q2 	2009Q1 	2008Q4 	2008Q3 	2008Q2 	2008Q1 	2007Q4 	2007Q3 	2007Q2 	2007Q1 	2006Q4 	2006Q3 	2006Q2 	2006Q1 	2005Q4 	2005Q3 	2005Q2 	2005Q1 	2004Q4 	2004Q3 	2004Q2 	2004Q1 	2003Q4 	2003Q3 	2003Q2 	2003Q1 	2002Q4 	2002Q3 	2002Q2 	2002Q1 	2001Q4 	2001Q3 	2001Q2 	2001Q1 	2000Q4 	2000Q3 	2000Q2 	2000Q1 	1999Q4 	1999Q3 	1999Q2 	1999Q1 	1998Q4 	1998Q3 	1998Q2 	1998Q1 	1997Q4 	1997Q3 	1997Q2 	1997Q1 	1996Q4 	1996Q3 	1996Q2 	1996Q1 	1995Q4 	1995Q3 	1995Q2 	1995Q1 	1994Q4 	1994Q3 	1994Q2 	1994Q1 	1993Q4 	1993Q3 	1993Q2 	1993Q1 	1992Q4 	1992Q3 	1992Q2 	1992Q1 	1991Q4 	1991Q3 	1991Q2 	1991Q1 	1990Q4 	1990Q3 	1990Q2 	1990Q1 	1989Q4 	1989Q3 	1989Q2 	1989Q1 	1988Q4 	1988Q3 	1988Q2 	1988Q1 	1987Q4 	1987Q3 	1987Q2 	1987Q1 	1986Q4 	1986Q3 	1986Q2 	1986Q1 	1985Q4 	1985Q3 	1985Q2 	1985Q1 	1984Q4 	1984Q3 	1984Q2 	1984Q1 	1983Q4 	1983Q3 	1983Q2 	1983Q1 	1982Q4 	1982Q3 	1982Q2 	1982Q1 	1981Q4 	1981Q3 	1981Q2 	1981Q1 	1980Q4 	1980Q3 	1980Q2 	1980Q1 	1979Q4 	1979Q3 	1979Q2 	1979Q1 	1978Q4 	1978Q3 	1978Q2 	1978Q1 	1977Q4 	1977Q3 	1977Q2 	1977Q1 	1976Q4 	1976Q3 	1976Q2 	1976Q1 	1975Q4 	1975Q3 	1975Q2 	1975Q1 	1974Q4 	1974Q3 	1974Q2 	1974Q1 	1973Q4 	1973Q3 	1973Q2 	1973Q1 	1972Q4 	1972Q3 	1972Q2 	1972Q1 	1971Q4 	1971Q3 	1971Q2 	1971Q1 
END,NAC,BGN	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9563 	1.9559 	1.9559 	1.9559 	1.9559 	1.9559 	1.9559 	1.9464 	1.9557 	1.9489 	1.9462 	1.9508 	1.9546 	1.9469 	1.9517 	1.9504 	1.9463 	1.9475 	1.9474 	1.9473 	1.9543 	1.9482 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9558 	1.9624 	1.9781 	1.9864 	1.9763 	1.9661 	1.9453 	1.8427 	0.6098 	0.2878 	0.1933 	0.0989 	0.0929170 	0.0896820 	0.0887160 	0.0886150 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
END,NAC,BRL	4.5288 	4.3511 	4.3865 	4.4440 	4.6535 	4.4876 	4.0938 	3.9729 	3.7635 	3.7600 	3.3800 	3.4305 	3.6210 	3.5898 	4.1174 	4.3117 	4.4808 	3.4699 	3.4958 	3.2207 	3.0821 	3.0002 	3.1276 	3.2576 	3.0406 	2.8899 	2.5703 	2.7036 	2.6232 	2.5788 	2.4323 	2.4159 	2.5067 	2.2601 	2.3058 	2.2177 	2.3201 	2.2082 	2.4043 	2.5113 	2.6050 	2.7469 	3.0767 	3.2436 	2.7525 	2.5112 	2.7554 	2.5914 	2.6150 	2.5962 	2.7151 	2.8141 	2.7348 	2.7816 	2.6388 	2.7462 	2.6722 	2.8480 	3.4662 	3.6201 	3.5378 	3.7848 	3.5379 	3.6698 	3.4132 	3.2890 	3.6907 	3.7124 	3.8972 	2.8159 	2.0288 	2.0465 	2.4400 	1.9618 	1.9011 	1.8149 	1.6141 	1.7330 	1.6809 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
END,NAC,CAD	1.4426 	1.4893 	1.5000 	1.5605 	1.5064 	1.5442 	1.5895 	1.5039 	1.4687 	1.4785 	1.4265 	1.4188 	1.4690 	1.4384 	1.4738 	1.5116 	1.5034 	1.3839 	1.3738 	1.4063 	1.4058 	1.4589 	1.5225 	1.4671 	1.3912 	1.3714 	1659.4500 	1.3137 	1.2684 	1.2871 	1.3311 	1.3215 	1.4105 	1.3951 	1.3785 	1.3322 	1.4073 	1.2890 	1.3687 	1.5128 	1.5709 	1.6275 	1.6685 	1.6998 	1.4961 	1.5942 	1.6226 	1.4449 	1.4122 	1.4245 	1.5366 	1.5281 	1.4136 	1.4132 	1.4084 	1.3725 	1.4063 	1.4900 	1.5737 	1.6416 	1.5740 	1.6343 	1.5979 	1.6234 	1.5717 	1.5506 	1.6037 	1.6550 	1.5566 	1.5005 	1.3923 	1.4077 	1.4418 	1.2927 	1.3904 	1.3965 	1.3198 	1.4157 	1.3879 	1.4608 	1.5652 	1.5262 	1.6211 	1.8061 	1.7855 	1.6071 	1.5319 	1.5826 	1.5374 	1.5581 	1.5985 	1.7166 	1.7113 	1.7162 	1.7494 	1.7907 	1.7766 	1.8493 	1.8782 	1.7270 	1.6660 	1.6641 	1.5979 	1.4822 	1.5677 	1.4865 	1.5100 	1.5360 	1.7489 	1.6067 	1.4804 	1.5508 	1.3934 	1.2941 	1.3908 	1.5814 	1.5170 	1.4422 	1.4132 	1.3868 	1.3015 	1.2659 	1.3138 	1.3983 	1.3422 	1.3829 	1.5455 	1.6970 	1.4819 	1.5100 	1.5068 	1.4777 	1.4289 	1.3576 	1.3091 	1.2409 	1.1323 	1.0020 	0.9943 	0.9358 	0.9724 	1.0591 	1.0988 	1.0302 	1.0588 	1.0944 	1.1378 	1.1926 	1.1482 	1.2421 	1.2225 	1.2872 	1.2893 	1.2658 	1.4344 	1.5595 	1.6400 	1.6442 	1.5508 	1.6844 	1.6571 	1.5927 	1.5677 	1.6292 	1.5513 	1.3961 	1.4242 	1.3406 	1.2265 	1.2039 	1.1854 	1.1421 	1.0830 	1.0656 	1.1089 	1.1841 	1.1834 	1.3226 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
END,NAC,CHF	1.0847 	1.1105 	1.1181 	1.1269 	1.1316 	1.1569 	1.1779 	1.1702 	1.1457 	1.0930 	1.0696 	1.0739 	1.0876 	1.0867 	1.0931 	1.0835 	1.0915 	1.0413 	1.0463 	1.2024 	1.2063 	1.2156 	1.2194 	1.2276 	1.2225 	1.2338 	1.2195 	1.2072 	1.2099 	1.2030 	1.2045 	1.2156 	1.2170 	1.2071 	1.3005 	1.2504 	1.3287 	1.3283 	1.4276 	1.4836 	1.5078 	1.5265 	1.5152 	1.4850 	1.5774 	1.6056 	1.5738 	1.6547 	1.6601 	1.6553 	1.6247 	1.6069 	1.5881 	1.5672 	1.5801 	1.5551 	1.5561 	1.5499 	1.5486 	1.5429 	1.5524 	1.5242 	1.5594 	1.5579 	1.5404 	1.5544 	1.4764 	1.4524 	1.4611 	1.4721 	1.4670 	1.4829 	1.4761 	1.5228 	1.5271 	1.5232 	1.5240 	1.5576 	1.5907 	1.6051 	1.5967 	1.6034 	1.5981 	1.6078 	1.6238 	1.6641 	1.6369 	1.6055 	1.6173 	1.6490 	1.6880 	1.6913 	1.5797 	1.5746 	1.5275 	1.5128 	1.5129 	1.5464 	1.5279 	1.6132 	1.5953 	1.6190 	1.6286 	1.6523 	1.6694 	1.7358 	1.7959 	1.7631 	1.7202 	1.8497 	1.8632 	1.8176 	1.7854 	1.7685 	1.7517 	1.7416 	1.7081 	1.7485 	1.8061 	1.8428 	1.7860 	1.7712 	1.8254 	1.7606 	1.7563 	1.7212 	1.7092 	1.6650 	1.7278 	1.7213 	1.7284 	1.7356 	1.6970 	1.7549 	1.8170 	1.8402 	1.8102 	1.8840 	1.8959 	1.8383 	1.8466 	1.8700 	1.8505 	1.8041 	1.8233 	1.8772 	1.9235 	1.9310 	2.0186 	2.0206 	1.9259 	1.9517 	2.1085 	2.1512 	2.3144 	2.3148 	2.3116 	2.3182 	2.4003 	2.2978 	2.2158 	2.2691 	2.2882 	2.2284 	2.0358 	2.3059 	2.3509 	2.4570 	2.6733 	2.7899 	2.8526 	2.7626 	2.7192 	2.7207 	2.8540 	3.0524 	3.1724 	3.2134 	3.2824 	3.1518 	3.4881 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
END,NAC,CNY	7.7784 	7.8185 	7.5397 	7.8751 	7.9662 	7.7170 	7.7468 	7.8044 	7.8534 	7.7385 	7.3642 	7.3202 	7.4463 	7.3755 	7.3514 	7.0608 	7.1206 	6.9366 	6.6710 	7.5358 	7.7262 	8.4722 	8.5754 	8.3491 	8.2645 	8.0280 	7.9600 	8.2207 	8.1261 	8.0011 	8.4089 	8.1588 	8.6207 	9.3416 	9.3036 	8.8220 	9.1321 	8.3215 	9.2006 	9.8350 	9.9958 	9.6545 	9.0942 	9.4956 	9.7954 	10.8051 	11.0874 	10.7524 	10.6429 	10.2816 	10.2951 	10.2793 	10.0066 	10.1648 	9.7038 	9.5204 	9.7444 	10.0079 	10.7303 	11.2741 	10.2726 	10.0615 	10.1178 	10.4539 	9.6444 	9.4581 	9.0178 	8.6801 	8.1611 	8.2563 	7.2209 	7.2945 	7.5577 	7.0189 	7.3102 	7.7017 	7.2548 	7.9095 	7.9070 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
END,NAC,CZK	25.816 	25.447 	25.802 	25.724 	25.731 	26.020 	25.425 	25.535 	25.981 	26.197 	27.030 	27.021 	27.021 	27.131 	27.051 	27.023 	27.187 	27.253 	27.533 	27.735 	27.500 	27.453 	27.442 	27.427 	25.730 	25.949 	25.740 	25.151 	25.141 	25.640 	24.730 	25.787 	24.754 	24.345 	24.543 	25.061 	24.600 	25.691 	25.440 	26.473 	25.164 	25.882 	27.388 	26.875 	24.660 	23.893 	25.335 	26.628 	27.532 	28.718 	28.010 	27.485 	28.326 	28.493 	28.595 	29.000 	29.553 	30.030 	29.955 	30.464 	31.660 	31.755 	32.833 	32.410 	31.844 	31.572 	31.947 	31.577 	30.285 	29.267 	31.013 	31.962 	33.912 	33.780 	34.552 	35.047 	35.550 	35.622 	36.223 	36.103 	35.775 	36.418 	38.393 	35.194 	35.481 	36.037 	36.334 	38.027 	36.624 	36.591 	33.925 	34.247 	33.872 	34.580 	34.961 	34.944 	34.715 	35.081 	34.580 	34.501 	34.674 	34.041 	33.951 	33.420 	33.724 	34.416 	34.632 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
END,NAC,DKK	7.4662 	7.4636 	7.4652 	7.4673 	7.4564 	7.4525 	7.4530 	7.4449 	7.4423 	7.4366 	7.4379 	7.4344 	7.4513 	7.4393 	7.4512 	7.4626 	7.4598 	7.4604 	7.4697 	7.4453 	7.4431 	7.4557 	7.4659 	7.4593 	7.4580 	7.4588 	7.4553 	7.4610 	7.4555 	7.4334 	7.4399 	7.4342 	7.4417 	7.4587 	7.4567 	7.4535 	7.4519 	7.4488 	7.4447 	7.4418 	7.4443 	7.4470 	7.4482 	7.4506 	7.4611 	7.4579 	7.4568 	7.4583 	7.4544 	7.4422 	7.4508 	7.4560 	7.4576 	7.4592 	7.4624 	7.4605 	7.4624 	7.4515 	7.4495 	7.4388 	7.4416 	7.4326 	7.4448 	7.4450 	7.4256 	7.4299 	7.4264 	7.4288 	7.4274 	7.4292 	7.4336 	7.4365 	7.4367 	7.4444 	7.4627 	7.4631 	7.4570 	7.4610 	7.4460 	7.4433 	7.4332 	7.4341 	7.4317 	7.4488 	7.4625 	7.5345 	7.5709 	7.5280 	7.4877 	7.5011 	7.4378 	7.4466 	7.3703 	7.3803 	7.3114 	7.2954 	7.2957 	7.2647 	7.3493 	7.4823 	7.5341 	7.5440 	7.5838 	7.5531 	7.7095 	7.5387 	7.4508 	7.5748 	7.6345 	7.8758 	7.9267 	7.9294 	7.8985 	7.9316 	7.8933 	7.8826 	7.8624 	7.8490 	7.8060 	7.8816 	8.0460 	8.0463 	8.1013 	8.0298 	7.9620 	7.8807 	7.9548 	7.9446 	7.9849 	7.8626 	7.8308 	7.8619 	7.8944 	7.9696 	8.0208 	7.9567 	8.0495 	8.0661 	7.9942 	7.9880 	8.0876 	8.1997 	8.1835 	8.1827 	8.1662 	8.1441 	7.9612 	8.1149 	8.2311 	8.1753 	8.1914 	7.9408 	7.8010 	7.9288 	7.9928 	7.8872 	7.8215 	7.7948 	7.8578 	7.7170 	7.2691 	7.2453 	7.0181 	6.9911 	7.0501 	7.0196 	7.0053 	7.0797 	7.0312 	6.8371 	6.5656 	6.5396 	6.5199 	6.7731 	6.8476 	7.1970 	7.1755 	7.0377 	7.0921 	7.1307 	7.2649 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
END,NAC,GBP	0.88573 	0.89655 	0.85830 	0.89453 	0.88730 	0.88605 	0.87490 	0.88723 	0.88178 	0.87933 	0.85553 	0.85618 	0.86103 	0.82650 	0.79155 	0.73395 	0.73850 	0.71140 	0.72730 	0.77890 	0.77730 	0.80150 	0.82820 	0.83370 	0.83605 	0.85720 	0.84560 	0.81610 	0.79805 	0.80680 	0.83390 	0.83530 	0.86665 	0.90255 	0.88370 	0.86075 	0.85995 	0.81745 	0.88980 	0.88810 	0.90930 	0.85210 	0.93080 	0.95250 	0.79030 	0.79225 	0.79580 	0.73335 	0.69680 	0.67400 	0.67980 	0.67150 	0.67770 	0.69210 	0.69640 	0.68530 	0.68195 	0.67420 	0.68850 	0.70505 	0.68680 	0.67075 	0.66590 	0.70480 	0.69860 	0.69320 	0.68960 	0.65050 	0.62950 	0.64980 	0.61300 	0.60850 	0.62200 	0.60310 	0.61920 	0.62410 	0.59670 	0.63230 	0.59850 	0.62170 	0.64750 	0.65630 	0.66630 	0.70546 	0.68994 	0.65713 	0.63921 	0.66675 	0.68959 	0.67857 	0.71390 	0.73727 	0.80398 	0.81198 	0.84136 	0.84724 	0.83447 	0.84198 	0.82961 	0.78707 	0.78544 	0.78166 	0.77754 	0.75511 	0.78012 	0.76957 	0.79881 	0.79822 	0.78738 	0.70646 	0.71474 	0.71612 	0.70286 	0.69884 	0.69195 	0.70784 	0.70176 	0.70843 	0.73446 	0.74278 	0.68077 	0.68345 	0.65108 	0.64855 	0.65494 	0.66763 	0.66511 	0.69679 	0.69389 	0.70403 	0.71596 	0.72494 	0.71252 	0.63749 	0.63208 	0.61533 	0.58953 	0.56775 	0.58402 	0.60985 	0.59271 	0.59393 	0.59764 	0.57060 	0.57483 	0.58343 	0.62473 	0.60029 	0.54977 	0.55210 	0.55831 	0.56652 	0.58965 	0.54412 	0.53907 	0.54911 	0.58587 	0.60610 	0.60055 	0.64690 	0.64954 	0.62980 	0.65313 	0.67527 	0.66686 	0.66845 	0.67814 	0.64165 	0.65411 	0.65903 	0.65230 	0.66265 	0.66288 	0.61827 	0.58772 	0.57597 	0.56462 	0.58394 	0.53863 	0.53528 	0.50723 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
END,NAC,HKD	8.5368 	8.8866 	8.8195 	8.9675 	9.0579 	9.1468 	9.6696 	9.3720 	9.2214 	8.9068 	8.3074 	8.1751 	8.6547 	8.6135 	8.8282 	8.4376 	8.6824 	8.6740 	8.3422 	9.4170 	9.7740 	10.5858 	10.6973 	10.6933 	10.4722 	10.1477 	9.9420 	10.2260 	10.0258 	9.7658 	10.3705 	10.0510 	10.5213 	11.2475 	11.0559 	10.3856 	10.5918 	9.5549 	10.4653 	11.1709 	11.3485 	10.9540 	10.3140 	10.7858 	11.1124 	12.2943 	12.3075 	11.4800 	11.0055 	10.5569 	10.4070 	10.2409 	9.8640 	9.8745 	9.3923 	9.1474 	9.3412 	9.3990 	10.1110 	10.5881 	9.6745 	9.4803 	9.5228 	9.8049 	9.0254 	8.9110 	8.4975 	8.1781 	7.6905 	7.7805 	6.8044 	6.8723 	7.1217 	6.6143 	6.8882 	7.2578 	6.8302 	7.4456 	7.4357 	7.8033 	8.2833 	8.0116 	8.3226 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
END,NAC,HRK	7.41100 	7.39730 	7.43380 	7.41250 	7.43460 	7.38600 	7.43230 	7.44000 	7.49500 	7.41030 	7.44650 	7.55970 	7.52200 	7.52810 	7.52550 	7.63800 	7.64450 	7.59480 	7.64500 	7.65800 	7.64250 	7.57600 	7.64750 	7.62650 	7.61530 	7.44950 	7.59400 	7.55750 	7.44680 	7.51780 	7.51250 	7.53700 	7.49950 	7.40180 	7.37780 	7.38300 	7.30580 	7.19800 	7.26380 	7.30000 	7.25800 	7.27300 	7.47690 	7.35550 	7.10490 	7.23650 	7.26900 	7.33080 	7.27730 	7.30350 	7.40500 	7.35040 	7.38950 	7.24450 	7.34200 	7.37150 	7.43300 	7.31300 	7.41700 	7.66500 	7.58120 	7.34500 	7.47400 	7.64510 	7.54400 	7.49660 	7.66450 	7.47500 	7.35300 	7.32330 	7.41000 	7.34900 	7.56000 	7.35000 	7.67760 	7.58000 	7.52250 	7.63040 	7.74450 	7.70120 	7.71520 	7.56650 	7.66190 	7.33390 	7.26910 	7.24600 	6.97750 	6.92080 	6.91910 	6.94720 	6.95880 	6.94940 	6.77100 	6.80640 	6.89520 	6.77820 	6.80410 	6.70970 	6.63330 	6.94370 	7.06030 	7.08270 	7.09350 	7.30010 	6.89370 	3.66990 	1.87490 	0.96100 	0.46710 	0.29720 	0.13690 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
END,NAC,HUF	334.83 	323.39 	321.05 	320.98 	324.37 	329.77 	312.13 	310.33 	310.67 	308.97 	307.62 	309.83 	309.79 	317.06 	314.12 	315.98 	313.45 	314.93 	299.43 	315.54 	310.57 	309.30 	307.18 	297.04 	298.15 	294.85 	304.42 	292.30 	284.89 	287.77 	294.92 	314.58 	292.55 	266.11 	265.72 	277.95 	275.75 	286.00 	265.75 	270.42 	269.70 	271.55 	308.18 	266.70 	242.83 	235.43 	259.43 	253.73 	250.69 	246.15 	247.80 	251.77 	273.00 	283.35 	265.74 	252.87 	249.61 	247.24 	247.20 	245.97 	247.41 	251.60 	249.25 	262.50 	254.96 	266.61 	246.35 	236.29 	243.80 	244.93 	243.54 	245.18 	257.35 	243.63 	266.72 	265.00 	263.75 	260.15 	258.38 	254.70 	257.69 	249.64 	254.82 	252.39 	256.44 	240.12 	229.44 	224.71 	217.67 	211.28 	205.36 	206.91 	198.87 	192.41 	188.31 	183.30 	174.70 	169.00 	160.35 	136.73 	133.88 	122.93 	118.23 	112.35 	114.32 	106.38 	106.11 	101.68 	107.38 	105.01 	99.53 	101.40 	92.50 	87.60 	89.87 	83.77 	82.04 	79.66 	79.22 	74.38 	66.19 	65.57 	62.95 	61.72 	59.98 	57.24 	59.56 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
END,NAC,IDR	15456.94 	16083.35 	15998.64 	16500.00 	17249.98 	16654.04 	16933.98 	16239.12 	15888.51 	15209.34 	14237.94 	14173.43 	14566.22 	14601.70 	15024.84 	15039.99 	16347.81 	14938.43 	14053.78 	15076.10 	15366.97 	16248.15 	15663.17 	16764.78 	15425.27 	12980.41 	12447.96 	12713.97 	12380.86 	11878.51 	12245.24 	11731.47 	12253.97 	12397.41 	12366.75 	12002.14 	12173.44 	11121.85 	12227.26 	13626.13 	14130.03 	14427.58 	15570.36 	15239.12 	13487.73 	14550.17 	14570.76 	13826.70 	12966.70 	12201.77 	12152.68 	11844.44 	11678.85 	11776.05 	10972.28 	11596.45 	12391.22 	11804.82 	12274.89 	12653.91 	11367.10 	11426.17 	10470.16 	10643.10 	9784.38 	9451.79 	9698.19 	9387.21 	8868.54 	8692.09 	8570.35 	9227.43 	8874.74 	9659.29 	9188.24 	9077.75 	7686.90 	8359.72 	7262.40 	7052.77 	8959.03 	6883.62 	9344.25 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
END,NAC,ILS	3.7877 	4.0607 	4.0764 	4.2972 	4.2118 	4.2627 	4.3262 	4.1635 	4.1591 	3.9888 	3.8853 	4.0477 	4.1996 	4.2761 	4.2950 	4.2481 	4.4001 	4.2211 	4.2795 	4.7200 	4.6474 	4.6960 	4.8095 	4.7880 	4.7734 	4.7386 	4.6679 	4.9258 	5.0603 	4.9453 	4.9570 	4.9453 	5.0582 	4.9439 	4.9439 	4.7321 	4.9517 	4.7639 	4.9903 	5.4524 	5.5034 	5.5142 	5.5756 	5.2919 	4.9497 	5.2764 	5.6214 	5.6539 	5.6979 	5.7279 	5.5515 	5.5677 	5.4544 	5.6547 	5.6513 	5.4334 	5.5427 	5.5315 	5.6506 	5.8922 	5.5601 	5.4678 	5.5183 	5.5424 	5.1716 	4.9392 	5.1108 	4.9708 	4.8117 	4.7431 	4.1046 	3.8746 	3.9780 	3.5362 	3.7112 	3.7620 	3.5270 	3.9017 	3.8383 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
